Dataset	Domains	All sec	All insec	Int sec	Int insec	Ext sec	Ext insec	Mix sec	Mix int sec	Mix ext sec
alexa.2014-09-01.random.10000-http	8216	0.020326192794547226	0.44997565725413824	0.02227361246348588	0.9057935735150925	0.028481012658227847	0.3928919182083739	0.5296981499513145	0.0719328140214216	0.5786270691333982
alexa.2014-09-01.random.10000-http-www	8493	0.023313316849169905	0.4590839514894619	0.025314965265512777	0.8963852584481338	0.027434357706346404	0.3990344989991758	0.5176027316613682	0.07829977628635343	0.5735311432944779
alexa.2014-09-01.random.10000-https	1135	0.27929515418502204	0.11189427312775331	0.3629955947136564	0.3876651982378855	0.29955947136563876	0.13656387665198239	0.6088105726872246	0.24933920704845813	0.5638766519823788
alexa.2014-09-01.random.10000-https-www	1224	0.40604575163398693	0.08660130718954248	0.5122549019607843	0.24591503267973855	0.4125816993464052	0.1053921568627451	0.5073529411764706	0.24183006535947718	0.4820261437908497
alexa.2014-09-01.top.10000-http	8545	0.041193680514921005	0.3529549444119368	0.04072557050906963	0.8503218256290228	0.04856641310708017	0.3350497366881217	0.6058513750731422	0.10895260386190753	0.616383850204798
alexa.2014-09-01.top.10000-http-www	8682	0.04630269523151347	0.3577516701220917	0.04595715272978576	0.8401290025339784	0.04941257774706289	0.3374798433540659	0.5959456346463949	0.11391384473623589	0.6131075788988712
alexa.2014-09-01.top.10000-https	2507	0.32149980055843635	0.10849621061029119	0.3530115676106901	0.41643398484244115	0.3211009174311927	0.13003589948145194	0.5700039888312725	0.23055444754686877	0.5488631830873554
alexa.2014-09-01.top.10000-https-www	2957	0.3442678390260399	0.10213053770713561	0.41190395671288466	0.345958741968211	0.3483260060872506	0.11870138654041258	0.5536016232668245	0.24213730131890437	0.5329726073723368
alexa.2014-09-01.top.dk.10000-http	2263	0.03093239063190455	0.41051701281484754	0.03225806451612903	0.9089703932832524	0.03800265134776845	0.36897923110914715	0.5585505965532479	0.05877154220061864	0.5930181175430844
alexa.2014-09-01.top.dk.10000-http-www	2310	0.0341991341991342	0.41818181818181815	0.03593073593073593	0.9025974025974026	0.03896103896103896	0.3761904761904762	0.5476190476190477	0.061471861471861455	0.5848484848484848
alexa.2014-09-01.top.dk.10000-https	339	0.3215339233038348	0.10029498525073746	0.4306784660766962	0.336283185840708	0.3333333333333333	0.10619469026548672	0.5781710914454278	0.23303834808259577	0.5604719764011801
alexa.2014-09-01.top.dk.10000-https-www	441	0.3469387755102041	0.10204081632653061	0.49206349206349204	0.3242630385487528	0.3424036281179138	0.10430839002267574	0.5510204081632654	0.18367346938775508	0.5532879818594104
alexa.2014-09-01.top.se.10000-http	2797	0.037182695745441544	0.39756882373972113	0.038612799427958526	0.8945298534143725	0.04504826599928495	0.3675366464068645	0.5652484805148373	0.066857347157669	0.5874150875938506
alexa.2014-09-01.top.se.10000-http-www	2895	0.04179620034542314	0.3975820379965458	0.043523316062176166	0.8884283246977548	0.04455958549222798	0.36787564766839376	0.5606217616580311	0.06804835924006902	0.5875647668393783
alexa.2014-09-01.top.se.10000-https	438	0.3242009132420091	0.12557077625570776	0.4292237442922374	0.3470319634703196	0.3607305936073059	0.13470319634703196	0.550228310502283	0.22374429223744297	0.504566210045662
alexa.2014-09-01.top.se.10000-https-www	650	0.3984615384615385	0.12	0.5538461538461539	0.2723076923076923	0.4246153846153846	0.12615384615384614	0.4815384615384616	0.17384615384615382	0.4492307692307692
com.2014-08-29.random.10000-http	7775	0.006173633440514469	0.7435369774919615	0.0012861736334405145	0.7147266881028939	0.00977491961414791	0.6064308681672026	0.25028938906752407	0.2839871382636656	0.3837942122186495
com.2014-08-29.random.10000-http-www	7811	0.00550505697093842	0.7408782486237357	0.001664319549353476	0.7074638330559467	0.008833696069645371	0.6028677506081167	0.25361669440532586	0.29087184739469985	0.38829855332223795
com.2014-08-29.random.10000-https	50	0.36	0.14	0.5	0.28	0.28	0.2	0.5	0.21999999999999997	0.52
com.2014-08-29.random.10000-https-www	55	0.4909090909090909	0.05454545454545454	0.6363636363636364	0.2	0.3090909090909091	0.12727272727272726	0.4545454545454545	0.16363636363636364	0.5636363636363637
dk.2014-07-23.random.10000-http	7180	0.011559888579387187	0.7093314763231198	0.001532033426183844	0.6455431754874652	0.01838440111420613	0.4125348189415042	0.27910863509749306	0.352924791086351	0.5690807799442896
dk.2014-07-23.random.10000-http-www	7378	0.011656275413391162	0.701951748441312	0.0012198427758200055	0.6439414475467606	0.019381946326917865	0.40932502033071294	0.28639197614529677	0.3548387096774194	0.5712930333423692
dk.2014-07-23.random.10000-https	23	0.5652173913043478	0.08695652173913043	0.5652173913043478	0.21739130434782608	0.4782608695652174	0.043478260869565216	0.3478260869565218	0.21739130434782614	0.4782608695652174
dk.2014-07-23.random.10000-https-www	32	0.5	0.09375	0.5625	0.15625	0.375	0.09375	0.40625	0.28125	0.53125
net.2014-08-29.random.10000-http	7270	0.0072902338376891335	0.741678129298487	0.0009628610729023383	0.6685006877579092	0.009491059147180193	0.6145804676753782	0.2510316368638239	0.3305364511691885	0.3759284731774416
net.2014-08-29.random.10000-http-www	7378	0.007725670913526701	0.7399024125779344	0.000813228517213337	0.6583084846841962	0.010165356465166711	0.6141230685822716	0.25237191650853885	0.34087828679859045	0.3757115749525617
net.2014-08-29.random.10000-https	26	0.5769230769230769	0.038461538461538464	0.6538461538461539	0.15384615384615385	0.38461538461538464	0	0.3846153846153847	0.1923076923076923	0.6153846153846154
net.2014-08-29.random.10000-https-www	28	0.4642857142857143	0	0.5357142857142857	0.14285714285714285	0.39285714285714285	0.03571428571428571	0.5357142857142857	0.32142857142857145	0.5714285714285715
reach50.2014w35.se-http	43	0.046511627906976744	0.4418604651162791	0.06976744186046512	0.7906976744186046	0.11627906976744186	0.4418604651162791	0.5116279069767442	0.13953488372093026	0.4418604651162791
reach50.2014w35.se-http-www	42	0.09523809523809523	0.4523809523809524	0.11904761904761904	0.7380952380952381	0.11904761904761904	0.4523809523809524	0.4523809523809524	0.1428571428571428	0.42857142857142855
reach50.2014w35.se-https	18	0.4444444444444444	0.1111111111111111	0.6111111111111112	0.2222222222222222	0.3888888888888889	0.1111111111111111	0.4444444444444445	0.16666666666666663	0.5
reach50.2014w35.se-https-www	26	0.4230769230769231	0.19230769230769232	0.5384615384615384	0.3076923076923077	0.4230769230769231	0.19230769230769232	0.3846153846153846	0.15384615384615385	0.3846153846153846
se.2014-07-10.random.100000-http	73605	0.08860811086203382	0.5750288703213097	0.001209156986617757	0.5854221859927994	0.09294205556687725	0.367148970857958	0.33636301881665653	0.4133686570205829	0.5399089735751648
se.2014-07-10.random.100000-http-www	77261	0.0859036253737332	0.5817553487529283	0.0012813709374716869	0.5848358162591735	0.08999365786101655	0.37352609984338797	0.33234102587333847	0.4138828128033548	0.5364802422955954
se.2014-07-10.random.100000-https	282	0.5851063829787234	0.0425531914893617	0.6666666666666666	0.11702127659574468	0.48226950354609927	0.05319148936170213	0.3723404255319149	0.2163120567375887	0.46453900709219853
se.2014-07-10.random.100000-https-www	328	0.551829268292683	0.07926829268292683	0.6707317073170732	0.14329268292682926	0.49390243902439024	0.09146341463414634	0.3689024390243902	0.18597560975609753	0.41463414634146345
se.healthstatus.2013.counties-http	18	0	0.6111111111111112	0	0.9444444444444444	0	0.6111111111111112	0.38888888888888884	0.05555555555555558	0.38888888888888884
se.healthstatus.2013.counties-http-www	21	0	0.6190476190476191	0	0.9047619047619048	0	0.6190476190476191	0.38095238095238093	0.09523809523809523	0.38095238095238093
se.healthstatus.2013.counties-https	3	0	0.6666666666666666	0.3333333333333333	0.6666666666666666	0	0.6666666666666666	0.33333333333333337	1.1102230246251565e-16	0.33333333333333337
se.healthstatus.2013.counties-https-www	6	0.5	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.16666666666666669	5.551115123125783e-17	0.3333333333333334
se.healthstatus.2013.domain-registrars-http	127	0.09448818897637795	0.5433070866141733	0.10236220472440945	0.6692913385826772	0.10236220472440945	0.4566929133858268	0.36220472440944873	0.2283464566929133	0.4409448818897637
se.healthstatus.2013.domain-registrars-http-www	134	0.09701492537313433	0.5447761194029851	0.1044776119402985	0.6716417910447762	0.09701492537313433	0.43283582089552236	0.35820895522388063	0.22388059701492535	0.47014925373134336
se.healthstatus.2013.domain-registrars-https	40	0.575	0.1	0.6	0.175	0.5	0.125	0.32500000000000007	0.22500000000000003	0.375
